#           k/h    P           
    0.27589E-01    0.22210E+05
    0.28146E-01    0.21919E+05
    0.28715E-01    0.21619E+05
    0.29295E-01    0.21312E+05
    0.29887E-01    0.20999E+05
    0.30490E-01    0.20679E+05
    0.31106E-01    0.20353E+05
    0.31735E-01    0.20023E+05
    0.32376E-01    0.19690E+05
    0.33030E-01    0.19353E+05
    0.33697E-01    0.19014E+05
    0.34378E-01    0.18675E+05
    0.35072E-01    0.18335E+05
    0.35781E-01    0.17995E+05
    0.36504E-01    0.17657E+05
    0.37241E-01    0.17322E+05
    0.37993E-01    0.16990E+05
    0.38761E-01    0.16663E+05
    0.39544E-01    0.16342E+05
    0.40343E-01    0.16027E+05
    0.41158E-01    0.15718E+05
    0.41989E-01    0.15417E+05
    0.42838E-01    0.15123E+05
    0.43703E-01    0.14837E+05
    0.44586E-01    0.14559E+05
    0.45486E-01    0.14291E+05
    0.46405E-01    0.14033E+05
    0.47343E-01    0.13787E+05
    0.48299E-01    0.13552E+05
    0.49275E-01    0.13330E+05
    0.50270E-01    0.13119E+05
    0.51286E-01    0.12917E+05
    0.52322E-01    0.12724E+05
    0.53379E-01    0.12538E+05
    0.54457E-01    0.12360E+05
    0.55557E-01    0.12188E+05
    0.56680E-01    0.12023E+05
    0.57825E-01    0.11863E+05
    0.58993E-01    0.11707E+05
    0.60184E-01    0.11553E+05
    0.61400E-01    0.11400E+05
    0.62641E-01    0.11246E+05
    0.63906E-01    0.11089E+05
    0.65197E-01    0.10928E+05
    0.66514E-01    0.10761E+05
    0.67858E-01    0.10588E+05
    0.69229E-01    0.10406E+05
    0.70627E-01    0.10214E+05
    0.72054E-01    0.10012E+05
    0.73510E-01    0.97980E+04
    0.74994E-01    0.95731E+04
    0.76509E-01    0.93370E+04
    0.78055E-01    0.90904E+04
    0.79632E-01    0.88343E+04
    0.81241E-01    0.85702E+04
    0.82882E-01    0.83001E+04
    0.84556E-01    0.80258E+04
    0.86264E-01    0.77498E+04
    0.88007E-01    0.74744E+04
    0.89785E-01    0.72022E+04
    0.91598E-01    0.69358E+04
    0.93449E-01    0.66777E+04
    0.95337E-01    0.64306E+04
    0.97263E-01    0.61968E+04
    0.99227E-01    0.59785E+04
    0.10123E+00    0.57772E+04
    0.10328E+00    0.55943E+04
    0.10536E+00    0.54301E+04
    0.10749E+00    0.52840E+04
    0.10966E+00    0.51552E+04
    0.11188E+00    0.50413E+04
    0.11414E+00    0.49400E+04
    0.11644E+00    0.48483E+04
    0.11880E+00    0.47628E+04
    0.12120E+00    0.46802E+04
    0.12365E+00    0.45970E+04
    0.12614E+00    0.45101E+04
    0.12869E+00    0.44164E+04
    0.13129E+00    0.43136E+04
    0.13394E+00    0.42000E+04
    0.13665E+00    0.40750E+04
    0.13941E+00    0.39393E+04
    0.14223E+00    0.37944E+04
    0.14510E+00    0.36433E+04
    0.14803E+00    0.34889E+04
    0.15102E+00    0.33350E+04
    0.15407E+00    0.31853E+04
    0.15718E+00    0.30435E+04
    0.16036E+00    0.29127E+04
    0.16360E+00    0.27958E+04
    0.16690E+00    0.26939E+04
    0.17028E+00    0.26070E+04
    0.17371E+00    0.25334E+04
    0.17722E+00    0.24703E+04
    0.18080E+00    0.24143E+04
    0.18446E+00    0.23617E+04
    0.18818E+00    0.23089E+04
    0.19198E+00    0.22526E+04
    0.19586E+00    0.21899E+04
    0.19982E+00    0.21194E+04
    0.20386E+00    0.20412E+04
    0.20797E+00    0.19572E+04
    0.21218E+00    0.18704E+04
    0.21646E+00    0.17845E+04
    0.22083E+00    0.17026E+04
    0.22530E+00    0.16277E+04
    0.22985E+00    0.15615E+04
    0.23449E+00    0.15046E+04
    0.23923E+00    0.14560E+04
    0.24406E+00    0.14136E+04
    0.24899E+00    0.13748E+04
    0.25402E+00    0.13363E+04
    0.25915E+00    0.12955E+04
    0.26439E+00    0.12508E+04
    0.26973E+00    0.12022E+04
    0.27518E+00    0.11513E+04
    0.28074E+00    0.11002E+04
    0.28641E+00    0.10511E+04
    0.29219E+00    0.10059E+04
    0.29810E+00    0.96589E+03
    0.30412E+00    0.93086E+03
    0.31026E+00    0.89946E+03
    0.31653E+00    0.86990E+03
    0.32292E+00    0.84044E+03
    0.32945E+00    0.80978E+03
    0.33610E+00    0.77761E+03
    0.34289E+00    0.74473E+03
    0.34982E+00    0.71249E+03
    0.35689E+00    0.68211E+03
    0.36409E+00    0.65435E+03
    0.37145E+00    0.62920E+03
    0.37895E+00    0.60592E+03
    0.38661E+00    0.58352E+03
    0.39442E+00    0.56119E+03
    0.40239E+00    0.53854E+03
    0.41052E+00    0.51593E+03
    0.41881E+00    0.49405E+03
    0.42727E+00    0.47339E+03
    0.43590E+00    0.45420E+03
    0.44471E+00    0.43625E+03
    0.45369E+00    0.41902E+03
    0.46286E+00    0.40215E+03
    0.47221E+00    0.38550E+03
    0.48174E+00    0.36923E+03
    0.49148E+00    0.35368E+03
    0.50141E+00    0.33895E+03
    0.51153E+00    0.32503E+03
    0.52187E+00    0.31168E+03
    0.53241E+00    0.29872E+03
    0.54317E+00    0.28613E+03
    0.55414E+00    0.27398E+03
    0.56533E+00    0.26238E+03
    0.57675E+00    0.25133E+03
    0.58840E+00    0.24076E+03
    0.60029E+00    0.23055E+03
    0.61242E+00    0.22071E+03
    0.62479E+00    0.21125E+03
    0.63741E+00    0.20220E+03
    0.65029E+00    0.19355E+03
    0.66342E+00    0.18525E+03
    0.67683E+00    0.17728E+03
    0.69050E+00    0.16963E+03
    0.70445E+00    0.16229E+03
    0.71868E+00    0.15524E+03
    0.73320E+00    0.14849E+03
    0.74801E+00    0.14201E+03
    0.76312E+00    0.13580E+03
    0.77854E+00    0.12985E+03
    0.79426E+00    0.12415E+03
    0.81031E+00    0.11868E+03
    0.82668E+00    0.11345E+03
    0.84338E+00    0.10844E+03
    0.86041E+00    0.10364E+03
    0.87780E+00    0.99043E+02
    0.89553E+00    0.94643E+02
    0.91362E+00    0.90431E+02
    0.93208E+00    0.86399E+02
    0.95091E+00    0.82539E+02
    0.97011E+00    0.78845E+02
    0.98971E+00    0.75310E+02
    0.10097E+01    0.71927E+02
    0.10301E+01    0.68689E+02
    0.10509E+01    0.65592E+02
    0.10721E+01    0.62629E+02
    0.10938E+01    0.59794E+02
    0.11159E+01    0.57083E+02
    0.11384E+01    0.54490E+02
    0.11614E+01    0.52011E+02
    0.11849E+01    0.49640E+02
    0.12088E+01    0.47374E+02
    0.12333E+01    0.45208E+02
    0.12582E+01    0.43137E+02
    0.12836E+01    0.41158E+02
    0.13095E+01    0.39266E+02
    0.13360E+01    0.37459E+02
    0.13630E+01    0.35732E+02
    0.13905E+01    0.34082E+02
    0.14186E+01    0.32506E+02
    0.14472E+01    0.31001E+02
    0.14765E+01    0.29563E+02
    0.15063E+01    0.28189E+02
    0.15367E+01    0.26878E+02
    0.15678E+01    0.25626E+02
    0.15994E+01    0.24430E+02
    0.16318E+01    0.23289E+02
    0.16647E+01    0.22199E+02
    0.16984E+01    0.21159E+02
    0.17327E+01    0.20166E+02
    0.17677E+01    0.19219E+02
    0.18034E+01    0.18314E+02
    0.18398E+01    0.17452E+02
    0.18770E+01    0.16628E+02
    0.19149E+01    0.15843E+02
    0.19536E+01    0.15093E+02
