#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.182115E-02   0.194533E+08   0.194491E+08   0.179604E+06  -0.141011E+06   0.000000E+00   0.194526E+08   0.194526E+08   0.194526E+08  -0.460702E+00   0.102733E+08   0.102725E+08   0.140519E+03
   0.201096E-02   0.193731E+08   0.193689E+08   0.836307E+05  -0.115161E+06   0.000000E+00   0.193724E+08   0.193724E+08   0.193724E+08  -0.458802E+00   0.102309E+08   0.102301E+08   0.125048E+03
   0.222054E-02   0.192822E+08   0.192780E+08   0.541459E+05  -0.939974E+05   0.000000E+00   0.192815E+08   0.192815E+08   0.192815E+08  -0.456647E+00   0.101828E+08   0.101821E+08   0.111082E+03
   0.245198E-02   0.191794E+08   0.191752E+08   0.638023E+05  -0.766752E+05   0.000000E+00   0.191787E+08   0.191787E+08   0.191787E+08  -0.454210E+00   0.101285E+08   0.101278E+08   0.990327E+02
   0.270753E-02   0.190634E+08   0.190591E+08   0.239131E+05  -0.625009E+05   0.000000E+00   0.190628E+08   0.190628E+08   0.190628E+08  -0.451464E+00   0.100672E+08   0.100665E+08   0.889839E+02
   0.298972E-02   0.189332E+08   0.189287E+08   0.219242E+05  -0.509069E+05   0.000000E+00   0.189325E+08   0.189325E+08   0.189325E+08  -0.448377E+00   0.999839E+07   0.999767E+07   0.805780E+02
   0.330131E-02   0.187872E+08   0.187825E+08   0.106540E+05  -0.414273E+05   0.000000E+00   0.187865E+08   0.187865E+08   0.187865E+08  -0.444918E+00   0.992127E+07   0.992054E+07   0.732320E+02
   0.364539E-02   0.186242E+08   0.186192E+08   0.373529E+04  -0.336803E+05   0.000000E+00   0.186234E+08   0.186234E+08   0.186234E+08  -0.441056E+00   0.983515E+07   0.983443E+07   0.663787E+02
   0.402532E-02   0.184428E+08   0.184375E+08  -0.474359E+04  -0.273527E+05   0.000000E+00   0.184420E+08   0.184420E+08   0.184420E+08  -0.436759E+00   0.973931E+07   0.973859E+07   0.597823E+02
   0.444485E-02   0.182415E+08   0.182360E+08   0.344274E+04  -0.221877E+05   0.000000E+00   0.182407E+08   0.182407E+08   0.182407E+08  -0.431991E+00   0.963299E+07   0.963227E+07   0.536074E+02
   0.490810E-02   0.180190E+08   0.180131E+08  -0.283212E+02  -0.179746E+05   0.000000E+00   0.180181E+08   0.180181E+08   0.180181E+08  -0.426719E+00   0.951543E+07   0.951472E+07   0.481467E+02
   0.541964E-02   0.177737E+08   0.177673E+08  -0.403080E+04  -0.145408E+05   0.000000E+00   0.177727E+08   0.177727E+08   0.177727E+08  -0.420908E+00   0.938585E+07   0.938515E+07   0.434237E+02
   0.598449E-02   0.175043E+08   0.174972E+08  -0.170039E+04  -0.117445E+05   0.000000E+00   0.175032E+08   0.175032E+08   0.175032E+08  -0.414525E+00   0.924350E+07   0.924280E+07   0.391709E+02
   0.660821E-02   0.172092E+08   0.172015E+08  -0.296327E+04  -0.946956E+04   0.000000E+00   0.172080E+08   0.172080E+08   0.172080E+08  -0.407534E+00   0.908762E+07   0.908692E+07   0.352187E+02
   0.729694E-02   0.168871E+08   0.168785E+08  -0.203084E+04  -0.762086E+04   0.000000E+00   0.168858E+08   0.168858E+08   0.168858E+08  -0.399903E+00   0.891744E+07   0.891675E+07   0.316761E+02
   0.805745E-02   0.165365E+08   0.165269E+08  -0.250079E+04  -0.612030E+04   0.000000E+00   0.165350E+08   0.165350E+08   0.165350E+08  -0.391596E+00   0.873222E+07   0.873152E+07   0.285646E+02
   0.889722E-02   0.161561E+08   0.161452E+08  -0.203431E+04  -0.490392E+04   0.000000E+00   0.161544E+08   0.161544E+08   0.161544E+08  -0.382580E+00   0.853118E+07   0.853049E+07   0.257461E+02
   0.982452E-02   0.157443E+08   0.157320E+08  -0.149008E+04  -0.391931E+04   0.000000E+00   0.157424E+08   0.157424E+08   0.157424E+08  -0.372823E+00   0.831361E+07   0.831292E+07   0.232219E+02
   0.108485E-01   0.152999E+08   0.152858E+08  -0.141332E+04  -0.312357E+04   0.000000E+00   0.152977E+08   0.152977E+08   0.152977E+08  -0.362292E+00   0.807877E+07   0.807809E+07   0.209842E+02
   0.119791E-01   0.148215E+08   0.148055E+08  -0.150989E+04  -0.248160E+04   0.000000E+00   0.148190E+08   0.148190E+08   0.148190E+08  -0.350955E+00   0.782597E+07   0.782529E+07   0.189793E+02
   0.132276E-01   0.143080E+08   0.142896E+08  -0.995792E+03  -0.196468E+04   0.000000E+00   0.143051E+08   0.143051E+08   0.143051E+08  -0.338785E+00   0.755459E+07   0.755391E+07   0.171999E+02
   0.146062E-01   0.137583E+08   0.137374E+08  -0.104621E+04  -0.154936E+04   0.000000E+00   0.137551E+08   0.137551E+08   0.137551E+08  -0.325759E+00   0.726412E+07   0.726343E+07   0.156110E+02
   0.161285E-01   0.131720E+08   0.131481E+08  -0.740370E+03  -0.121649E+04   0.000000E+00   0.131683E+08   0.131683E+08   0.131683E+08  -0.311862E+00   0.695425E+07   0.695356E+07   0.141918E+02
   0.178095E-01   0.125491E+08   0.125219E+08  -0.595841E+03  -0.950461E+03   0.000000E+00   0.125449E+08   0.125449E+08   0.125449E+08  -0.297098E+00   0.662503E+07   0.662434E+07   0.129171E+02
   0.196657E-01   0.118907E+08   0.118599E+08  -0.542407E+03  -0.738567E+03   0.000000E+00   0.118859E+08   0.118859E+08   0.118859E+08  -0.281492E+00   0.627703E+07   0.627633E+07   0.117613E+02
   0.217153E-01   0.111993E+08   0.111648E+08  -0.289945E+03  -0.570468E+03   0.000000E+00   0.111940E+08   0.111940E+08   0.111940E+08  -0.265104E+00   0.591159E+07   0.591090E+07   0.106991E+02
   0.239785E-01   0.104795E+08   0.104413E+08  -0.337221E+03  -0.437759E+03   0.000000E+00   0.104736E+08   0.104736E+08   0.104736E+08  -0.248044E+00   0.553118E+07   0.553048E+07   0.970595E+01
