#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.598449E-02   0.108002E+06   0.105853E+06   0.833144E+05   0.732180E+05   0.000000E+00   0.107669E+06   0.107669E+06   0.112348E+06  -0.556095E+00   0.107387E+06   0.106569E+06   0.374178E+03
   0.660821E-02   0.106960E+06   0.104357E+06   0.725479E+05   0.620609E+05   0.000000E+00   0.106556E+06   0.106556E+06   0.110590E+06  -0.546738E+00   0.106267E+06   0.105281E+06   0.408394E+03
   0.729694E-02   0.105733E+06   0.102585E+06   0.610138E+05   0.505903E+05   0.000000E+00   0.105245E+06   0.105245E+06   0.108599E+06  -0.536052E+00   0.104940E+06   0.103755E+06   0.444712E+03
   0.805745E-02   0.104299E+06   0.100498E+06   0.490540E+05   0.393029E+05   0.000000E+00   0.103710E+06   0.103710E+06   0.106373E+06  -0.524002E+00   0.103379E+06   0.101957E+06   0.482951E+03
   0.889722E-02   0.102635E+06   0.980558E+05   0.371693E+05   0.288164E+05   0.000000E+00   0.101925E+06   0.101925E+06   0.103920E+06  -0.510606E+00   0.101553E+06   0.998542E+05   0.522826E+03
   0.982452E-02   0.100722E+06   0.952189E+05   0.260107E+05   0.198005E+05   0.000000E+00   0.998688E+05   0.998688E+05   0.101256E+06  -0.495946E+00   0.994393E+05   0.974155E+05   0.563928E+03
   0.108485E-01   0.985445E+05   0.919511E+05   0.163248E+05   0.128456E+05   0.000000E+00   0.975223E+05   0.975223E+05   0.984031E+05  -0.480170E+00   0.970161E+05   0.946158E+05   0.605710E+03
   0.119791E-01   0.960927E+05   0.882220E+05   0.883243E+04   0.827735E+04   0.000000E+00   0.948725E+05   0.948725E+05   0.953809E+05  -0.463468E+00   0.942715E+05   0.914383E+05   0.647469E+03
   0.132276E-01   0.933635E+05   0.840093E+05   0.403558E+04   0.596888E+04   0.000000E+00   0.919132E+05   0.919132E+05   0.921980E+05  -0.446037E+00   0.912048E+05   0.878789E+05   0.688330E+03
   0.146062E-01   0.903604E+05   0.793019E+05   0.198481E+04   0.525544E+04   0.000000E+00   0.886459E+05   0.886459E+05   0.888417E+05  -0.428016E+00   0.878280E+05   0.839481E+05   0.727215E+03
   0.161285E-01   0.870926E+05   0.741022E+05   0.210161E+04   0.509215E+04   0.000000E+00   0.850786E+05   0.850786E+05   0.852745E+05  -0.409430E+00   0.841654E+05   0.796714E+05   0.762807E+03
   0.178095E-01   0.835725E+05   0.684296E+05   0.321301E+04   0.451839E+04   0.000000E+00   0.812248E+05   0.812248E+05   0.814459E+05  -0.390164E+00   0.802493E+05   0.750874E+05   0.793475E+03
   0.196657E-01   0.798142E+05   0.623245E+05   0.394666E+04   0.324586E+04   0.000000E+00   0.771026E+05   0.771026E+05   0.773189E+05  -0.370008E+00   0.761134E+05   0.702431E+05   0.817194E+03
   0.217153E-01   0.758326E+05   0.558575E+05   0.344629E+04   0.186506E+04   0.000000E+00   0.727357E+05   0.727357E+05   0.729013E+05  -0.348793E+00   0.717871E+05   0.651916E+05   0.831476E+03
   0.239785E-01   0.716469E+05   0.491411E+05   0.198134E+04   0.120593E+04   0.000000E+00   0.681576E+05   0.681576E+05   0.682561E+05  -0.326535E+00   0.672955E+05   0.599959E+05   0.833399E+03
   0.264776E-01   0.672849E+05   0.423444E+05   0.738472E+03   0.114583E+04   0.000000E+00   0.634181E+05   0.634181E+05   0.634715E+05  -0.303514E+00   0.626625E+05   0.547334E+05   0.819816E+03
   0.292372E-01   0.627883E+05   0.357037E+05   0.568806E+03   0.868185E+03   0.000000E+00   0.585891E+05   0.585891E+05   0.586299E+05  -0.280144E+00   0.579534E+05   0.495399E+05   0.787791E+03
   0.322844E-01   0.582160E+05   0.295237E+05   0.908495E+03   0.652293E+03   0.000000E+00   0.537676E+05   0.537676E+05   0.538151E+05  -0.256945E+00   0.532401E+05   0.445702E+05   0.735180E+03
   0.356492E-01   0.536435E+05   0.241592E+05   0.682625E+03   0.488113E+03   0.000000E+00   0.490723E+05   0.490723E+05   0.491079E+05  -0.234423E+00   0.486277E+05   0.400164E+05   0.661294E+03
   0.393646E-01   0.491596E+05   0.199706E+05   0.198210E+03   0.364917E+03   0.000000E+00   0.446342E+05   0.446342E+05   0.446499E+05  -0.213121E+00   0.442336E+05   0.360710E+05   0.567668E+03
   0.434673E-01   0.448594E+05   0.172469E+05   0.290636E+03   0.273054E+03   0.000000E+00   0.405784E+05   0.405784E+05   0.405952E+05  -0.193669E+00   0.401684E+05   0.328807E+05   0.458986E+03
   0.478141E-01   0.409731E+05   0.161015E+05   0.209145E+03   0.207983E+03   0.000000E+00   0.371171E+05   0.371171E+05   0.371294E+05  -0.177100E+00   0.366383E+05   0.305568E+05   0.348197E+03
   0.521608E-01   0.377120E+05   0.162026E+05   0.164201E+03   0.163273E+03   0.000000E+00   0.343772E+05   0.343772E+05   0.343869E+05  -0.163987E+00   0.338178E+05   0.290446E+05   0.250514E+03
   0.565075E-01   0.349408E+05   0.169099E+05   0.132121E+03   0.131360E+03   0.000000E+00   0.321453E+05   0.321453E+05   0.321531E+05  -0.153310E+00   0.314956E+05   0.279499E+05   0.171776E+03
   0.608543E-01   0.325681E+05   0.176912E+05   0.108231E+03   0.107598E+03   0.000000E+00   0.302616E+05   0.302616E+05   0.302680E+05  -0.144305E+00   0.295365E+05   0.269930E+05   0.114423E+03
   0.652010E-01   0.304898E+05   0.181254E+05   0.896241E+02   0.890940E+02   0.000000E+00   0.285728E+05   0.285728E+05   0.285781E+05  -0.136236E+00   0.278084E+05   0.259534E+05   0.778869E+02
   0.695477E-01   0.286258E+05   0.179679E+05   0.746176E+02   0.741742E+02   0.000000E+00   0.269734E+05   0.269734E+05   0.269778E+05  -0.128599E+00   0.262142E+05   0.247071E+05   0.593244E+02
   0.738945E-01   0.269163E+05   0.171486E+05   0.622555E+02   0.618864E+02   0.000000E+00   0.254019E+05   0.254019E+05   0.254056E+05  -0.121100E+00   0.246875E+05   0.232179E+05   0.544443E+02
   0.782412E-01   0.253246E+05   0.157520E+05   0.519779E+02   0.516726E+02   0.000000E+00   0.238405E+05   0.238405E+05   0.238436E+05  -0.113650E+00   0.231992E+05   0.215317E+05   0.583456E+02
   0.825879E-01   0.238332E+05   0.139725E+05   0.434309E+02   0.431796E+02   0.000000E+00   0.223044E+05   0.223044E+05   0.223070E+05  -0.106324E+00   0.217531E+05   0.197532E+05   0.662912E+02
   0.869347E-01   0.224373E+05   0.120572E+05   0.363693E+02   0.361624E+02   0.000000E+00   0.208279E+05   0.208279E+05   0.208301E+05  -0.992827E-01   0.203713E+05   0.180112E+05   0.743202E+02
   0.912814E-01   0.211377E+05   0.102507E+05   0.306037E+02   0.304327E+02   0.000000E+00   0.194498E+05   0.194498E+05   0.194516E+05  -0.927109E-01   0.190790E+05   0.164237E+05   0.796336E+02
   0.966868E-01   0.196644E+05   0.845069E+04   0.249860E+02   0.248486E+02   0.000000E+00   0.179258E+05   0.179258E+05   0.179273E+05  -0.854441E-01   0.176320E+05   0.147963E+05   0.802886E+02
   0.102092E+00   0.183627E+05   0.734729E+04   0.207775E+02   0.206640E+02   0.000000E+00   0.166549E+05   0.166549E+05   0.166561E+05  -0.793834E-01   0.163974E+05   0.136335E+05   0.741149E+02
   0.107498E+00   0.172357E+05   0.695904E+04   0.176402E+02   0.175432E+02   0.000000E+00   0.156424E+05   0.156424E+05   0.156434E+05  -0.745553E-01   0.153866E+05   0.129197E+05   0.628232E+02
   0.112903E+00   0.162643E+05   0.711953E+04   0.152627E+02   0.151773E+02   0.000000E+00   0.148465E+05   0.148465E+05   0.148474E+05  -0.707596E-01   0.145691E+05   0.125394E+05   0.492136E+02
   0.118309E+00   0.154146E+05   0.755456E+04   0.133892E+02   0.133128E+02   0.000000E+00   0.141960E+05   0.141960E+05   0.141968E+05  -0.676575E-01   0.138863E+05   0.123231E+05   0.361728E+02
   0.123714E+00   0.146527E+05   0.797833E+04   0.118309E+02   0.117622E+02   0.000000E+00   0.136179E+05   0.136179E+05   0.136186E+05  -0.649008E-01   0.132789E+05   0.121084E+05   0.259010E+02
   0.129120E+00   0.139498E+05   0.816884E+04   0.104638E+02   0.104025E+02   0.000000E+00   0.130535E+05   0.130535E+05   0.130541E+05  -0.622098E-01   0.126999E+05   0.117800E+05   0.195046E+02
   0.134525E+00   0.132833E+05   0.801115E+04   0.922228E+01   0.916818E+01   0.000000E+00   0.124659E+05   0.124659E+05   0.124665E+05  -0.594088E-01   0.121187E+05   0.112851E+05   0.169637E+02
   0.139930E+00   0.126409E+05   0.750934E+04   0.808510E+01   0.803797E+01   0.000000E+00   0.118453E+05   0.118453E+05   0.118458E+05  -0.564507E-01   0.115245E+05   0.106358E+05   0.173862E+02
   0.145336E+00   0.120214E+05   0.676594E+04   0.705821E+01   0.701756E+01   0.000000E+00   0.112066E+05   0.112066E+05   0.112071E+05  -0.534065E-01   0.109257E+05   0.989477E+04   0.194188E+02
   0.150741E+00   0.114302E+05   0.593607E+04   0.615669E+01   0.612176E+01   0.000000E+00   0.105784E+05   0.105784E+05   0.105788E+05  -0.504122E-01   0.103405E+05   0.914679E+04   0.216782E+02
   0.156147E+00   0.108747E+05   0.517706E+04   0.539050E+01   0.536035E+01   0.000000E+00   0.999133E+04   0.999133E+04   0.999165E+04  -0.476142E-01   0.978969E+04   0.847265E+04   0.230907E+02
