#    L    TT             EE             BB             TE          
   143    0.40259E+04    0.10910E+01    0.65763E-02   -0.43851E+02
   144    0.40587E+04    0.10893E+01    0.66755E-02   -0.44037E+02
   145    0.40913E+04    0.10873E+01    0.67757E-02   -0.44202E+02
   146    0.41240E+04    0.10847E+01    0.68768E-02   -0.44346E+02
   147    0.41563E+04    0.10817E+01    0.69790E-02   -0.44467E+02
   148    0.41886E+04    0.10782E+01    0.70821E-02   -0.44567E+02
   149    0.42207E+04    0.10743E+01    0.71862E-02   -0.44644E+02
   150    0.42526E+04    0.10700E+01    0.72913E-02   -0.44697E+02
   151    0.42843E+04    0.10653E+01    0.73974E-02   -0.44727E+02
   152    0.43158E+04    0.10600E+01    0.75045E-02   -0.44735E+02
   153    0.43471E+04    0.10544E+01    0.76126E-02   -0.44717E+02
   154    0.43782E+04    0.10484E+01    0.77218E-02   -0.44675E+02
   155    0.44091E+04    0.10421E+01    0.78320E-02   -0.44610E+02
   156    0.44396E+04    0.10354E+01    0.79432E-02   -0.44520E+02
   157    0.44701E+04    0.10283E+01    0.80555E-02   -0.44405E+02
   158    0.45002E+04    0.10210E+01    0.81688E-02   -0.44265E+02
   159    0.45301E+04    0.10132E+01    0.82831E-02   -0.44100E+02
   160    0.45598E+04    0.10051E+01    0.83984E-02   -0.43909E+02
   161    0.45892E+04    0.99679E+00    0.85149E-02   -0.43693E+02
   162    0.46183E+04    0.98813E+00    0.86323E-02   -0.43452E+02
   163    0.46473E+04    0.97917E+00    0.87508E-02   -0.43184E+02
   164    0.46759E+04    0.96999E+00    0.88704E-02   -0.42892E+02
   165    0.47043E+04    0.96053E+00    0.89910E-02   -0.42572E+02
   166    0.47323E+04    0.95092E+00    0.91126E-02   -0.42226E+02
   167    0.47602E+04    0.94095E+00    0.92353E-02   -0.41856E+02
   168    0.47876E+04    0.93098E+00    0.93591E-02   -0.41458E+02
   169    0.48147E+04    0.92072E+00    0.94838E-02   -0.41033E+02
   170    0.48415E+04    0.91039E+00    0.96096E-02   -0.40583E+02
   171    0.48679E+04    0.89999E+00    0.97365E-02   -0.40104E+02
   172    0.48938E+04    0.88945E+00    0.98644E-02   -0.39599E+02
   173    0.49193E+04    0.87877E+00    0.99933E-02   -0.39067E+02
   174    0.49445E+04    0.86824E+00    0.10123E-01   -0.38508E+02
   175    0.49693E+04    0.85756E+00    0.10254E-01   -0.37922E+02
   176    0.49936E+04    0.84697E+00    0.10386E-01   -0.37309E+02
   177    0.50175E+04    0.83637E+00    0.10519E-01   -0.36670E+02
   178    0.50409E+04    0.82601E+00    0.10653E-01   -0.36004E+02
   179    0.50639E+04    0.81557E+00    0.10788E-01   -0.35310E+02
   180    0.50865E+04    0.80528E+00    0.10924E-01   -0.34590E+02
   181    0.51087E+04    0.79515E+00    0.11061E-01   -0.33845E+02
   182    0.51303E+04    0.78524E+00    0.11199E-01   -0.33072E+02
   183    0.51515E+04    0.77547E+00    0.11338E-01   -0.32274E+02
   184    0.51722E+04    0.76594E+00    0.11478E-01   -0.31449E+02
   185    0.51925E+04    0.75677E+00    0.11618E-01   -0.30599E+02
   186    0.52120E+04    0.74783E+00    0.11760E-01   -0.29723E+02
   187    0.52314E+04    0.73927E+00    0.11903E-01   -0.28820E+02
   188    0.52502E+04    0.73106E+00    0.12046E-01   -0.27893E+02
   189    0.52684E+04    0.72324E+00    0.12191E-01   -0.26941E+02
   190    0.52864E+04    0.71586E+00    0.12336E-01   -0.25965E+02
   191    0.53036E+04    0.70895E+00    0.12483E-01   -0.24962E+02
   192    0.53204E+04    0.70253E+00    0.12630E-01   -0.23935E+02
   193    0.53366E+04    0.69664E+00    0.12778E-01   -0.22886E+02
   194    0.53524E+04    0.69130E+00    0.12927E-01   -0.21811E+02
   195    0.53677E+04    0.68657E+00    0.13076E-01   -0.20714E+02
   196    0.53823E+04    0.68246E+00    0.13227E-01   -0.19593E+02
   197    0.53965E+04    0.67904E+00    0.13378E-01   -0.18450E+02
   198    0.54102E+04    0.67631E+00    0.13531E-01   -0.17285E+02
