#    L    TT             EE             TE             PP             TP          
   186    0.52157E+04    0.73246E+00   -0.29942E+02    0.30205E+07    0.27691E+04
   187    0.52351E+04    0.72352E+00   -0.29040E+02    0.30047E+07    0.27459E+04
   188    0.52541E+04    0.71492E+00   -0.28113E+02    0.29890E+07    0.27228E+04
   189    0.52725E+04    0.70670E+00   -0.27161E+02    0.29734E+07    0.27001E+04
   190    0.52907E+04    0.69893E+00   -0.26184E+02    0.29579E+07    0.26776E+04
   191    0.53080E+04    0.69161E+00   -0.25181E+02    0.29426E+07    0.26553E+04
   192    0.53250E+04    0.68477E+00   -0.24154E+02    0.29274E+07    0.26333E+04
   193    0.53413E+04    0.67846E+00   -0.23103E+02    0.29123E+07    0.26116E+04
   194    0.53573E+04    0.67270E+00   -0.22028E+02    0.28974E+07    0.25900E+04
   195    0.53727E+04    0.66753E+00   -0.20929E+02    0.28825E+07    0.25686E+04
   196    0.53875E+04    0.66299E+00   -0.19807E+02    0.28678E+07    0.25475E+04
   197    0.54019E+04    0.65912E+00   -0.18663E+02    0.28532E+07    0.25266E+04
   198    0.54157E+04    0.65595E+00   -0.17496E+02    0.28386E+07    0.25058E+04
   199    0.54291E+04    0.65350E+00   -0.16306E+02    0.28243E+07    0.24852E+04
   200    0.54419E+04    0.65181E+00   -0.15095E+02    0.28100E+07    0.24648E+04
   201    0.54541E+04    0.65095E+00   -0.13862E+02    0.27958E+07    0.24446E+04
   202    0.54658E+04    0.65090E+00   -0.12608E+02    0.27817E+07    0.24245E+04
   203    0.54770E+04    0.65174E+00   -0.11333E+02    0.27678E+07    0.24045E+04
   204    0.54874E+04    0.65349E+00   -0.10040E+02    0.27539E+07    0.23848E+04
   205    0.54974E+04    0.65619E+00   -0.87252E+01    0.27402E+07    0.23652E+04
   206    0.55067E+04    0.65988E+00   -0.73914E+01    0.27266E+07    0.23457E+04
   207    0.55154E+04    0.66458E+00   -0.60385E+01    0.27130E+07    0.23264E+04
   208    0.55235E+04    0.67034E+00   -0.46672E+01    0.26996E+07    0.23073E+04
   209    0.55309E+04    0.67719E+00   -0.32777E+01    0.26863E+07    0.22883E+04
   210    0.55378E+04    0.68517E+00   -0.18709E+01    0.26731E+07    0.22694E+04
   211    0.55441E+04    0.69432E+00   -0.44697E+00    0.26599E+07    0.22508E+04
   212    0.55496E+04    0.70466E+00    0.99327E+00    0.26469E+07    0.22322E+04
   213    0.55546E+04    0.71624E+00    0.24498E+01    0.26340E+07    0.22138E+04
   214    0.55590E+04    0.72906E+00    0.39215E+01    0.26212E+07    0.21956E+04
   215    0.55628E+04    0.74330E+00    0.54077E+01    0.26084E+07    0.21775E+04
   216    0.55659E+04    0.75878E+00    0.69087E+01    0.25958E+07    0.21596E+04
   217    0.55685E+04    0.77566E+00    0.84227E+01    0.25833E+07    0.21417E+04
   218    0.55704E+04    0.79393E+00    0.99498E+01    0.25708E+07    0.21241E+04
   219    0.55718E+04    0.81359E+00    0.11491E+02    0.25585E+07    0.21066E+04
   220    0.55725E+04    0.83480E+00    0.13042E+02    0.25462E+07    0.20892E+04
   221    0.55727E+04    0.85747E+00    0.14605E+02    0.25341E+07    0.20719E+04
   222    0.55723E+04    0.88177E+00    0.16178E+02    0.25220E+07    0.20548E+04
   223    0.55711E+04    0.90761E+00    0.17763E+02    0.25100E+07    0.20379E+04
   224    0.55695E+04    0.93499E+00    0.19355E+02    0.24982E+07    0.20210E+04
   225    0.55672E+04    0.96406E+00    0.20957E+02    0.24864E+07    0.20043E+04
   226    0.55644E+04    0.99482E+00    0.22566E+02    0.24746E+07    0.19878E+04
   227    0.55609E+04    0.10273E+01    0.24184E+02    0.24630E+07    0.19714E+04
   228    0.55568E+04    0.10614E+01    0.25808E+02    0.24515E+07    0.19551E+04
   229    0.55522E+04    0.10973E+01    0.27438E+02    0.24400E+07    0.19389E+04
   230    0.55469E+04    0.11350E+01    0.29073E+02    0.24287E+07    0.19229E+04
   231    0.55409E+04    0.11745E+01    0.30714E+02    0.24174E+07    0.19069E+04
   232    0.55345E+04    0.12158E+01    0.32359E+02    0.24062E+07    0.18912E+04
   233    0.55274E+04    0.12590E+01    0.34006E+02    0.23951E+07    0.18755E+04
   234    0.55196E+04    0.13041E+01    0.35656E+02    0.23840E+07    0.18600E+04
   235    0.55113E+04    0.13512E+01    0.37308E+02    0.23731E+07    0.18446E+04
   236    0.55023E+04    0.14001E+01    0.38961E+02    0.23622E+07    0.18293E+04
   237    0.54927E+04    0.14510E+01    0.40615E+02    0.23514E+07    0.18141E+04
   238    0.54826E+04    0.15040E+01    0.42269E+02    0.23407E+07    0.17991E+04
   239    0.54719E+04    0.15588E+01    0.43922E+02    0.23300E+07    0.17841E+04
   240    0.54605E+04    0.16157E+01    0.45573E+02    0.23195E+07    0.17693E+04
   241    0.54486E+04    0.16747E+01    0.47221E+02    0.23090E+07    0.17546E+04
   242    0.54361E+04    0.17357E+01    0.48867E+02    0.22985E+07    0.17400E+04
   243    0.54231E+04    0.17988E+01    0.50508E+02    0.22882E+07    0.17256E+04
   244    0.54095E+04    0.18640E+01    0.52146E+02    0.22779E+07    0.17112E+04
   245    0.53952E+04    0.19313E+01    0.53777E+02    0.22677E+07    0.16970E+04
   246    0.53805E+04    0.20008E+01    0.55404E+02    0.22576E+07    0.16829E+04
   247    0.53652E+04    0.20723E+01    0.57023E+02    0.22475E+07    0.16688E+04
   248    0.53494E+04    0.21462E+01    0.58635E+02    0.22375E+07    0.16549E+04
   249    0.53331E+04    0.22221E+01    0.60239E+02    0.22276E+07    0.16411E+04
   250    0.53162E+04    0.23003E+01    0.61834E+02    0.22177E+07    0.16274E+04
   251    0.52988E+04    0.23805E+01    0.63420E+02    0.22080E+07    0.16138E+04
   252    0.52808E+04    0.24631E+01    0.64996E+02    0.21982E+07    0.16003E+04
   253    0.52625E+04    0.25477E+01    0.66560E+02    0.21886E+07    0.15870E+04
   254    0.52436E+04    0.26346E+01    0.68113E+02    0.21790E+07    0.15737E+04
   255    0.52242E+04    0.27237E+01    0.69654E+02    0.21694E+07    0.15605E+04
   256    0.52044E+04    0.28151E+01    0.71184E+02    0.21600E+07    0.15474E+04
   257    0.51841E+04    0.29086E+01    0.72694E+02    0.21506E+07    0.15344E+04
   258    0.51633E+04    0.30044E+01    0.74196E+02    0.21412E+07    0.15215E+04
   259    0.51420E+04    0.31024E+01    0.75677E+02    0.21319E+07    0.15088E+04
   260    0.51204E+04    0.32026E+01    0.77150E+02    0.21227E+07    0.14961E+04
   261    0.50982E+04    0.33050E+01    0.78594E+02    0.21136E+07    0.14835E+04
   262    0.50756E+04    0.34097E+01    0.80031E+02    0.21045E+07    0.14710E+04
   263    0.50528E+04    0.35166E+01    0.81453E+02    0.20954E+07    0.14586E+04
   264    0.50293E+04    0.36257E+01    0.82854E+02    0.20865E+07    0.14463E+04
   265    0.50054E+04    0.37369E+01    0.84224E+02    0.20775E+07    0.14341E+04
   266    0.49812E+04    0.38505E+01    0.85588E+02    0.20687E+07    0.14219E+04
   267    0.49564E+04    0.39661E+01    0.86923E+02    0.20599E+07    0.14099E+04
   268    0.49313E+04    0.40840E+01    0.88242E+02    0.20511E+07    0.13979E+04
   269    0.49057E+04    0.42040E+01    0.89540E+02    0.20424E+07    0.13861E+04
   270    0.48798E+04    0.43262E+01    0.90816E+02    0.20338E+07    0.13743E+04
   271    0.48535E+04    0.44504E+01    0.92070E+02    0.20252E+07    0.13626E+04
   272    0.48270E+04    0.45770E+01    0.93294E+02    0.20167E+07    0.13511E+04
   273    0.48000E+04    0.47054E+01    0.94504E+02    0.20083E+07    0.13395E+04
   274    0.47727E+04    0.48362E+01    0.95677E+02    0.19999E+07    0.13281E+04
   275    0.47451E+04    0.49688E+01    0.96835E+02    0.19915E+07    0.13168E+04
   276    0.47172E+04    0.51034E+01    0.97957E+02    0.19832E+07    0.13055E+04
   277    0.46889E+04    0.52402E+01    0.99064E+02    0.19750E+07    0.12944E+04
   278    0.46604E+04    0.53789E+01    0.10013E+03    0.19668E+07    0.12833E+04
   279    0.46315E+04    0.55196E+01    0.10117E+03    0.19586E+07    0.12723E+04
   280    0.46024E+04    0.56622E+01    0.10220E+03    0.19505E+07    0.12613E+04
   281    0.45731E+04    0.58068E+01    0.10319E+03    0.19425E+07    0.12505E+04
   282    0.45434E+04    0.59532E+01    0.10415E+03    0.19345E+07    0.12397E+04
   283    0.45135E+04    0.61014E+01    0.10508E+03    0.19266E+07    0.12290E+04
   284    0.44834E+04    0.62515E+01    0.10598E+03    0.19187E+07    0.12184E+04
   285    0.44531E+04    0.64035E+01    0.10685E+03    0.19109E+07    0.12078E+04
   286    0.44224E+04    0.65571E+01    0.10769E+03    0.19031E+07    0.11973E+04
   287    0.43916E+04    0.67125E+01    0.10850E+03    0.18953E+07    0.11869E+04
   288    0.43606E+04    0.68696E+01    0.10928E+03    0.18876E+07    0.11766E+04
   289    0.43293E+04    0.70283E+01    0.11002E+03    0.18800E+07    0.11663E+04
   290    0.42979E+04    0.71885E+01    0.11074E+03    0.18724E+07    0.11562E+04
   291    0.42664E+04    0.73510E+01    0.11142E+03    0.18648E+07    0.11460E+04
   292    0.42344E+04    0.75145E+01    0.11207E+03    0.18573E+07    0.11360E+04
   293    0.42026E+04    0.76788E+01    0.11267E+03    0.18499E+07    0.11260E+04
   294    0.41704E+04    0.78454E+01    0.11326E+03    0.18425E+07    0.11161E+04
   295    0.41384E+04    0.80127E+01    0.11380E+03    0.18351E+07    0.11062E+04
   296    0.41060E+04    0.81822E+01    0.11431E+03    0.18278E+07    0.10965E+04
   297    0.40736E+04    0.83517E+01    0.11479E+03    0.18205E+07    0.10867E+04
   298    0.40409E+04    0.85235E+01    0.11523E+03    0.18132E+07    0.10771E+04
   299    0.40082E+04    0.86968E+01    0.11563E+03    0.18060E+07    0.10675E+04
   300    0.39754E+04    0.88700E+01    0.11600E+03    0.17989E+07    0.10580E+04
   301    0.39425E+04    0.90448E+01    0.11633E+03    0.17917E+07    0.10485E+04
   302    0.39096E+04    0.92203E+01    0.11664E+03    0.17847E+07    0.10391E+04
   303    0.38766E+04    0.93973E+01    0.11690E+03    0.17776E+07    0.10297E+04
   304    0.38435E+04    0.95759E+01    0.11711E+03    0.17706E+07    0.10205E+04
   305    0.38105E+04    0.97544E+01    0.11730E+03    0.17637E+07    0.10112E+04
   306    0.37773E+04    0.99337E+01    0.11745E+03    0.17568E+07    0.10021E+04
   307    0.37442E+04    0.10114E+02    0.11756E+03    0.17499E+07    0.99296E+03
   308    0.37110E+04    0.10296E+02    0.11764E+03    0.17430E+07    0.98392E+03
   309    0.36779E+04    0.10478E+02    0.11768E+03    0.17362E+07    0.97494E+03
   310    0.36448E+04    0.10659E+02    0.11768E+03    0.17295E+07    0.96602E+03
   311    0.36117E+04    0.10843E+02    0.11764E+03    0.17228E+07    0.95716E+03
   312    0.35787E+04    0.11026E+02    0.11757E+03    0.17161E+07    0.94836E+03
   313    0.35456E+04    0.11210E+02    0.11745E+03    0.17094E+07    0.93963E+03
   314    0.35127E+04    0.11394E+02    0.11731E+03    0.17028E+07    0.93096E+03
   315    0.34798E+04    0.11578E+02    0.11712E+03    0.16963E+07    0.92235E+03
   316    0.34470E+04    0.11763E+02    0.11689E+03    0.16897E+07    0.91380E+03
   317    0.34142E+04    0.11947E+02    0.11663E+03    0.16832E+07    0.90532E+03
   318    0.33816E+04    0.12132E+02    0.11633E+03    0.16768E+07    0.89689E+03
   319    0.33490E+04    0.12317E+02    0.11600E+03    0.16703E+07    0.88853E+03
   320    0.33167E+04    0.12502E+02    0.11563E+03    0.16640E+07    0.88024E+03
   321    0.32843E+04    0.12687E+02    0.11522E+03    0.16576E+07    0.87200E+03
