#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.675738E-03   0.113267E+06   0.113238E+06   0.150027E+06   0.149778E+06   0.000000E+00   0.113262E+06   0.113262E+06   0.122110E+06  -0.606106E+00   0.112928E+06   0.112917E+06   0.445948E+02
   0.746165E-03   0.113251E+06   0.113216E+06   0.149788E+06   0.149485E+06   0.000000E+00   0.113246E+06   0.113246E+06   0.122077E+06  -0.605943E+00   0.112912E+06   0.112899E+06   0.492346E+02
   0.823933E-03   0.113232E+06   0.113190E+06   0.149498E+06   0.149129E+06   0.000000E+00   0.113225E+06   0.113225E+06   0.122038E+06  -0.605745E+00   0.112892E+06   0.112876E+06   0.543553E+02
   0.909805E-03   0.113208E+06   0.113157E+06   0.149145E+06   0.148696E+06   0.000000E+00   0.113200E+06   0.113200E+06   0.121991E+06  -0.605503E+00   0.112868E+06   0.112848E+06   0.600059E+02
   0.100463E-02   0.113180E+06   0.113117E+06   0.148715E+06   0.148170E+06   0.000000E+00   0.113170E+06   0.113170E+06   0.121933E+06  -0.605209E+00   0.112838E+06   0.112814E+06   0.662406E+02
   0.110933E-02   0.113145E+06   0.113069E+06   0.148192E+06   0.147530E+06   0.000000E+00   0.113133E+06   0.113133E+06   0.121863E+06  -0.604851E+00   0.112803E+06   0.112773E+06   0.731183E+02
   0.122495E-02   0.113103E+06   0.113010E+06   0.147557E+06   0.146753E+06   0.000000E+00   0.113089E+06   0.113089E+06   0.121777E+06  -0.604416E+00   0.112759E+06   0.112723E+06   0.807038E+02
   0.135262E-02   0.113052E+06   0.112938E+06   0.146786E+06   0.145811E+06   0.000000E+00   0.113034E+06   0.113034E+06   0.121673E+06  -0.603886E+00   0.112705E+06   0.112661E+06   0.890678E+02
   0.149359E-02   0.112989E+06   0.112851E+06   0.145850E+06   0.144670E+06   0.000000E+00   0.112968E+06   0.112968E+06   0.121546E+06  -0.603242E+00   0.112640E+06   0.112587E+06   0.982874E+02
   0.164926E-02   0.112913E+06   0.112745E+06   0.144716E+06   0.143289E+06   0.000000E+00   0.112887E+06   0.112887E+06   0.121392E+06  -0.602460E+00   0.112561E+06   0.112496E+06   0.108446E+03
   0.182115E-02   0.112820E+06   0.112615E+06   0.143343E+06   0.141622E+06   0.000000E+00   0.112788E+06   0.112788E+06   0.121206E+06  -0.601511E+00   0.112465E+06   0.112385E+06   0.119634E+03
