#           k/h    P           
    0.22985E+00    0.92259E+03
    0.23449E+00    0.88893E+03
    0.23923E+00    0.86020E+03
    0.24406E+00    0.83520E+03
    0.24899E+00    0.81225E+03
    0.25402E+00    0.78953E+03
    0.25915E+00    0.76541E+03
    0.26439E+00    0.73897E+03
    0.26973E+00    0.71029E+03
    0.27518E+00    0.68023E+03
    0.28074E+00    0.65002E+03
    0.28641E+00    0.62098E+03
    0.29219E+00    0.59430E+03
    0.29810E+00    0.57066E+03
    0.30412E+00    0.54997E+03
    0.31026E+00    0.53141E+03
    0.31653E+00    0.51395E+03
    0.32292E+00    0.49655E+03
    0.32945E+00    0.47843E+03
    0.33610E+00    0.45942E+03
    0.34289E+00    0.44000E+03
    0.34982E+00    0.42095E+03
    0.35689E+00    0.40300E+03
    0.36409E+00    0.38660E+03
    0.37145E+00    0.37174E+03
    0.37895E+00    0.35799E+03
    0.38661E+00    0.34475E+03
    0.39442E+00    0.33156E+03
    0.40239E+00    0.31818E+03
    0.41052E+00    0.30482E+03
    0.41881E+00    0.29189E+03
    0.42727E+00    0.27969E+03
    0.43590E+00    0.26835E+03
    0.44471E+00    0.25775E+03
    0.45369E+00    0.24756E+03
    0.46286E+00    0.23760E+03
    0.47221E+00    0.22776E+03
    0.48174E+00    0.21815E+03
    0.49148E+00    0.20896E+03
    0.50141E+00    0.20026E+03
    0.51153E+00    0.19203E+03
    0.52187E+00    0.18414E+03
    0.53241E+00    0.17649E+03
    0.54317E+00    0.16905E+03
    0.55414E+00    0.16187E+03
    0.56533E+00    0.15502E+03
    0.57675E+00    0.14849E+03
    0.58840E+00    0.14224E+03
    0.60029E+00    0.13621E+03
    0.61242E+00    0.13040E+03
    0.62479E+00    0.12481E+03
    0.63741E+00    0.11946E+03
    0.65029E+00    0.11435E+03
    0.66342E+00    0.10945E+03
    0.67683E+00    0.10474E+03
    0.69050E+00    0.10022E+03
    0.70445E+00    0.95881E+02
    0.71868E+00    0.91721E+02
    0.73320E+00    0.87730E+02
    0.74801E+00    0.83903E+02
    0.76312E+00    0.80234E+02
    0.77854E+00    0.76718E+02
    0.79426E+00    0.73348E+02
    0.81031E+00    0.70120E+02
    0.82668E+00    0.67028E+02
    0.84338E+00    0.64067E+02
    0.86041E+00    0.61231E+02
    0.87780E+00    0.58516E+02
    0.89553E+00    0.55917E+02
    0.91362E+00    0.53428E+02
    0.93208E+00    0.51046E+02
    0.95091E+00    0.48766E+02
    0.97011E+00    0.46583E+02
    0.98971E+00    0.44494E+02
    0.10097E+01    0.42495E+02
    0.10301E+01    0.40583E+02
    0.10509E+01    0.38753E+02
    0.10721E+01    0.37002E+02
    0.10938E+01    0.35327E+02
    0.11159E+01    0.33726E+02
    0.11384E+01    0.32194E+02
    0.11614E+01    0.30729E+02
    0.11849E+01    0.29328E+02
    0.12088E+01    0.27989E+02
    0.12333E+01    0.26709E+02
    0.12582E+01    0.25486E+02
    0.12836E+01    0.24317E+02
    0.13095E+01    0.23199E+02
    0.13360E+01    0.22131E+02
    0.13630E+01    0.21111E+02
    0.13905E+01    0.20136E+02
    0.14186E+01    0.19205E+02
    0.14472E+01    0.18316E+02
    0.14765E+01    0.17466E+02
    0.15063E+01    0.16655E+02
    0.15367E+01    0.15880E+02
    0.15678E+01    0.15140E+02
    0.15994E+01    0.14434E+02
    0.16318E+01    0.13759E+02
    0.16647E+01    0.13116E+02
    0.16984E+01    0.12501E+02
    0.17327E+01    0.11914E+02
    0.17677E+01    0.11355E+02
    0.18034E+01    0.10820E+02
    0.18398E+01    0.10311E+02
    0.18770E+01    0.98243E+01
    0.19149E+01    0.93602E+01
    0.19536E+01    0.89175E+01
    0.19930E+01    0.84951E+01
    0.20333E+01    0.80923E+01
    0.20744E+01    0.77081E+01
    0.21163E+01    0.73416E+01
    0.21590E+01    0.69922E+01
    0.22026E+01    0.66589E+01
    0.22471E+01    0.63412E+01
    0.22925E+01    0.60383E+01
    0.23388E+01    0.57495E+01
    0.23861E+01    0.54741E+01
    0.24343E+01    0.52117E+01
    0.24835E+01    0.49615E+01
    0.25336E+01    0.47231E+01
    0.25848E+01    0.44959E+01
    0.26370E+01    0.42794E+01
    0.26903E+01    0.40730E+01
    0.27447E+01    0.38764E+01
